Date,Product Name,Quantity
2023-05-01,Product A,10
2023-05-01,Product B,15
2023-05-01,Product C,20
2023-05-01,Product D,5
2023-05-01,Product E,8
2023-05-01,Product F,12
2023-05-01,Product G,7
2023-05-08,Product A,12
2023-05-08,Product B,18
2023-05-08,Product C,25
2023-05-08,Product D,6
2023-05-08,Product E,10
2023-05-08,Product F,15
2023-05-08,Product G,9
2023-05-15,Product A,14
2023-05-15,Product B,20
2023-05-15,Product C,28
2023-05-15,Product D,8
2023-05-15,Product E,12
2023-05-15,Product F,18
2023-05-15,Product G,11
2023-05-22,Product A,16
2023-05-22,Product B,22
2023-05-22,Product C,30
2023-05-22,Product D,10
2023-05-22,Product E,15
2023-05-22,Product F,22
2023-05-22,Product G,13
2023-05-29,Product A,18
2023-05-29,Product B,25
2023-05-29,Product C,35
2023-05-29,Product D,12
2023-05-29,Product E,18
2023-05-29,Product F,25
2023-05-29,Product G,15
