Date,Product Name,Quantity
2023-01-01,Product G,71
2023-01-01,Product K,98
2023-01-01,Product H,9
2023-01-01,Product J,44
2023-01-01,Product A,79
2023-01-01,Product E,59
2023-01-01,Product B,8
2023-01-01,Product D,2
2023-01-01,Product I,8
2023-01-01,Product L,61
2023-01-01,Product C,30
2023-01-01,Product F,43
2023-01-01,Product M,10
2023-01-01,Product N,3
2023-01-01,Product O,80
2023-01-01,Product P,52
2023-01-01,Product Q,53
2023-01-01,Product R,56
2023-01-01,Product S,69
2023-01-01,Product T,89
2023-01-01,Product U,4
2023-01-01,Product V,10
2023-01-01,Product W,51
2023-01-01,Product X,74
2023-01-01,Product Y,13
2023-01-01,Product Z,52
2023-01-02,Product G,85
2023-01-02,Product K,64
2023-01-02,Product H,27
2023-01-02,Product J,28
2023-01-02,Product A,83
2023-01-02,Product E,0
2023-01-02,Product B,24
2023-01-02,Product D,86
2023-01-02,Product I,6
2023-01-02,Product L,32
2023-01-02,Product C,81
2023-01-02,Product F,72
2023-01-02,Product M,26
2023-01-02,Product N,51
2023-01-02,Product O,30
2023-01-02,Product P,28
2023-01-02,Product Q,58
2023-01-02,Product R,67
2023-01-02,Product S,73
2023-01-02,Product T,10
2023-01-02,Product U,71
2023-01-02,Product V,75
2023-01-02,Product W,75
2023-01-02,Product X,83
2023-01-02,Product Y,45
2023-01-02,Product Z,53
2023-01-03,Product G,4
2023-01-03,Product K,97
2023-01-03,Product H,28
2023-01-03,Product J,26
2023-01-03,Product A,89
2023-01-03,Product E,64
2023-01-03,Product B,24
2023-01-03,Product D,39
2023-01-03,Product I,66
2023-01-03,Product L,35
2023-01-03,Product C,62
2023-01-03,Product F,62
2023-01-03,Product M,97
2023-01-03,Product N,50
2023-01-03,Product O,38
2023-01-03,Product P,11
2023-01-03,Product Q,0
2023-01-03,Product R,99
2023-01-03,Product S,77
2023-01-03,Product T,20
2023-01-03,Product U,68
2023-01-03,Product V,28
2023-01-03,Product W,87
2023-01-03,Product X,23
2023-01-03,Product Y,67
2023-01-03,Product Z,6
2023-01-04,Product G,62
2023-01-04,Product K,33
2023-01-04,Product H,64
2023-01-04,Product J,84
2023-01-04,Product A,7
2023-01-04,Product E,41
2023-01-04,Product B,22
2023-01-04,Product D,51
2023-01-04,Product I,98
2023-01-04,Product L,57
2023-01-04,Product C,62
2023-01-04,Product F,51
2023-01-04,Product M,87
2023-01-04,Product N,8
2023-01-04,Product O,60
2023-01-04,Product P,49
2023-01-04,Product Q,75
2023-01-04,Product R,32
2023-01-04,Product S,83
2023-01-04,Product T,38
2023-01-04,Product U,2
2023-01-04,Product V,11
2023-01-04,Product W,89
2023-01-04,Product X,17
2023-01-04,Product Y,100
2023-01-04,Product Z,53
2023-01-05,Product G,51
2023-01-05,Product K,7
2023-01-05,Product H,97
2023-01-05,Product J,68
2023-01-05,Product A,35
2023-01-05,Product E,52
2023-01-05,Product B,84
2023-01-05,Product D,96
2023-01-05,Product I,9
2023-01-05,Product L,10
2023-01-05,Product C,57
2023-01-05,Product F,26
2023-01-05,Product M,91
2023-01-05,Product N,17
2023-01-05,Product O,62
2023-01-05,Product P,12
2023-01-05,Product Q,66
2023-01-05,Product R,59
2023-01-05,Product S,95
2023-01-05,Product T,20
2023-01-05,Product U,49
2023-01-05,Product V,78
2023-01-05,Product W,52
2023-01-05,Product X,74
2023-01-05,Product Y,73
2023-01-05,Product Z,78
2023-01-06,Product G,86
2023-01-06,Product K,55
2023-01-06,Product H,82
2023-01-06,Product J,7
2023-01-06,Product A,25
2023-01-06,Product E,100
2023-01-06,Product B,10
2023-01-06,Product D,24
2023-01-06,Product I,86
2023-01-06,Product L,40
2023-01-06,Product C,17
2023-01-06,Product F,11
2023-01-06,Product M,37
2023-01-06,Product N,2
2023-01-06,Product O,35
2023-01-06,Product P,84
2023-01-06,Product Q,96
2023-01-06,Product R,17
2023-01-06,Product S,67
2023-01-06,Product T,29
2023-01-06,Product U,76
2023-01-06,Product V,71
2023-01-06,Product W,60
2023-01-06,Product X,98
2023-01-06,Product Y,46
2023-01-06,Product Z,38
2023-01-07,Product G,1
2023-01-07,Product K,30
2023-01-07,Product H,53
2023-01-07,Product J,79
2023-01-07,Product A,82
2023-01-07,Product E,50
2023-01-07,Product B,66
2023-01-07,Product D,2
2023-01-07,Product I,41
2023-01-07,Product L,96
2023-01-07,Product C,23
2023-01-07,Product F,45
2023-01-07,Product M,29
2023-01-07,Product N,60
2023-01-07,Product O,75
2023-01-07,Product P,29
2023-01-07,Product Q,75
2023-01-07,Product R,19
2023-01-07,Product S,48
2023-01-07,Product T,15
2023-01-07,Product U,3
2023-01-07,Product V,3
2023-01-07,Product W,8
2023-01-07,Product X,80
2023-01-07,Product Y,44
2023-01-07,Product Z,28
2023-01-08,Product G,14
2023-01-08,Product K,33
2023-01-08,Product H,43
2023-01-08,Product J,61
2023-01-08,Product A,65
2023-01-08,Product E,62
2023-01-08,Product B,63
2023-01-08,Product D,98
2023-01-08,Product I,56
2023-01-08,Product L,25
2023-01-08,Product C,54
2023-01-08,Product F,73
2023-01-08,Product M,20
2023-01-08,Product N,49
2023-01-08,Product O,91
2023-01-08,Product P,66
2023-01-08,Product Q,51
2023-01-08,Product R,64
2023-01-08,Product S,100
2023-01-08,Product T,46
2023-01-08,Product U,70
2023-01-08,Product V,13
2023-01-08,Product W,22
2023-01-08,Product X,0
2023-01-08,Product Y,97
2023-01-08,Product Z,32
2023-01-09,Product G,96
2023-01-09,Product K,43
2023-01-09,Product H,73
2023-01-09,Product J,47
2023-01-09,Product A,16
2023-01-09,Product E,4
2023-01-09,Product B,26
2023-01-09,Product D,52
2023-01-09,Product I,73
2023-01-09,Product L,35
2023-01-09,Product C,83
2023-01-09,Product F,31
2023-01-09,Product M,48
2023-01-09,Product N,21
2023-01-09,Product O,83
2023-01-09,Product P,71
2023-01-09,Product Q,64
2023-01-09,Product R,78
2023-01-09,Product S,73
2023-01-09,Product T,16
2023-01-09,Product U,85
2023-01-09,Product V,16
2023-01-09,Product W,3
2023-01-09,Product X,40
2023-01-09,Product Y,79
2023-01-09,Product Z,51
2023-01-10,Product G,44
2023-01-10,Product K,56
2023-01-10,Product H,66
2023-01-10,Product J,50
2023-01-10,Product A,84
2023-01-10,Product E,49
2023-01-10,Product B,74
2023-01-10,Product D,65
2023-01-10,Product I,57
2023-01-10,Product L,35
2023-01-10,Product C,69
2023-01-10,Product F,18
2023-01-10,Product M,77
2023-01-10,Product N,93
2023-01-10,Product O,77
2023-01-10,Product P,43
2023-01-10,Product Q,36
2023-01-10,Product R,60
2023-01-10,Product S,87
2023-01-10,Product T,59
2023-01-10,Product U,2
2023-01-10,Product V,8
2023-01-10,Product W,97
2023-01-10,Product X,21
2023-01-10,Product Y,38
2023-01-10,Product Z,10
2023-01-11,Product G,99
2023-01-11,Product K,52
2023-01-11,Product H,88
2023-01-11,Product J,35
2023-01-11,Product A,32
2023-01-11,Product E,52
2023-01-11,Product B,50
2023-01-11,Product D,68
2023-01-11,Product I,19
2023-01-11,Product L,69
2023-01-11,Product C,36
2023-01-11,Product F,73
2023-01-11,Product M,6
2023-01-11,Product N,25
2023-01-11,Product O,44
2023-01-11,Product P,94
