Date,Product Name,Quantity
2023-04-01,Product A,20
2023-04-01,Product B,15
2023-04-01,Product C,10
2023-04-02,Product A,15
2023-04-02,Product B,10
2023-04-02,Product C,5
2023-04-03,Product A,25
2023-04-03,Product B,20
2023-04-03,Product C,15
2023-04-04,Product A,30
2023-04-04,Product B,25
2023-04-04,Product C,20
2023-04-05,Product A,35
2023-04-05,Product B,30
2023-04-05,Product C,25
2023-04-01,Product D,15
2023-04-01,Product E,20
2023-04-01,Product F,10
2023-04-02,Product D,10
2023-04-02,Product E,15
2023-04-02,Product F,5
2023-04-03,Product D,20
2023-04-03,Product E,25
2023-04-03,Product F,15
2023-04-04,Product D,25
2023-04-04,Product E,30
2023-04-04,Product F,20
2023-04-05,Product D,30
2023-04-05,Product E,35
2023-04-05,Product F,25
2023-05-01,Product G,20
2023-05-01,Product H,15
2023-05-01,Product I,10
2023-05-02,Product G,15
2023-05-02,Product H,10
2023-05-02,Product I,5
2023-05-03,Product G,25
2023-05-03,Product H,20
2023-05-03,Product I,15
2023-05-04,Product G,30
2023-05-04,Product H,25
2023-05-04,Product I,20
2023-05-05,Product G,35
2023-05-05,Product H,30
2023-05-05,Product I,25
2023-05-01,Product J,15
2023-05-01,Product K,20
2023-05-01,Product L,10
2023-05-02,Product J,10
2023-05-02,Product K,15
2023-05-02,Product L,5
2023-05-03,Product J,20
2023-05-03,Product K,25
2023-05-03,Product L,15
2023-05-04,Product J,25
2023-05-04,Product K,30
2023-05-04,Product L,20
2023-05-05,Product J,30
2023-05-05,Product K,35
2023-05-05,Product L,25
